,title,url
0,Encanto,https://www.commonsensemedia.org/movie-reviews/encanto
1,A Little Princess,https://www.commonsensemedia.org/movie-reviews/a-little-princess
2,Raya and the Last Dragon,https://www.commonsensemedia.org/movie-reviews/raya-and-the-last-dragon
3,Le Pupille,https://www.commonsensemedia.org/tv-reviews/le-pupille
4,Guillermo del Toro's Pinocchio,https://www.commonsensemedia.org/movie-reviews/guillermo-del-toros-pinocchio
5,West Side Story,https://www.commonsensemedia.org/movie-reviews/west-side-story
6,Life of Pi,https://www.commonsensemedia.org/movie-reviews/life-of-pi
7,The New World,https://www.commonsensemedia.org/movie-reviews/the-new-world
8,West Side Story (2021),https://www.commonsensemedia.org/movie-reviews/west-side-story-2021
9,"Argentina, 1985",https://www.commonsensemedia.org/movie-reviews/argentina-1985
10,Gravity,https://www.commonsensemedia.org/movie-reviews/gravity
11,The Tree of Life,https://www.commonsensemedia.org/movie-reviews/the-tree-of-life
12,Pan's Labyrinth,https://www.commonsensemedia.org/movie-reviews/pans-labyrinth
13,Sound of Metal,https://www.commonsensemedia.org/movie-reviews/sound-of-metal
14,The Curious Case of Benjamin Button,https://www.commonsensemedia.org/movie-reviews/the-curious-case-of-benjamin-button
15,Frida,https://www.commonsensemedia.org/movie-reviews/frida
16,Roma,https://www.commonsensemedia.org/movie-reviews/roma
17,The Motorcycle Diaries,https://www.commonsensemedia.org/movie-reviews/the-motorcycle-diaries
18,Birdman,https://www.commonsensemedia.org/movie-reviews/birdman
19,The Shape of Water,https://www.commonsensemedia.org/movie-reviews/the-shape-of-water
20,Babel,https://www.commonsensemedia.org/movie-reviews/babel
21,Traffic,https://www.commonsensemedia.org/movie-reviews/traffic
22,Brokeback Mountain,https://www.commonsensemedia.org/movie-reviews/brokeback-mountain
23,A Fantastic Woman,https://www.commonsensemedia.org/movie-reviews/a-fantastic-woman
24,Children of Men,https://www.commonsensemedia.org/movie-reviews/children-of-men
25,Blonde,https://www.commonsensemedia.org/movie-reviews/blonde
26,The Revenant,https://www.commonsensemedia.org/movie-reviews/the-revenant
